Year,Metric,Dimension,Category,Status,Source, Mean , SD , p10 , p25 , p50 , p75 , p90 , N 
2006,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 158,500 "," 848,500 "," 18,500 "," 46,500 "," 84,500 "," 146,000 "," 240,500 "," 8,950 "
2007,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 181,500 "," 1,569,500 "," 20,000 "," 49,000 "," 86,000 "," 152,000 "," 272,000 "," 11,100 "
2008,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 145,000 "," 1,354,000 "," 12,000 "," 37,000 "," 68,000 "," 127,500 "," 222,500 "," 11,800 "
2009,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 112,000 "," 653,000 "," 4,000 "," 31,500 "," 60,500 "," 105,000 "," 198,500 "," 12,950 "
2010,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 145,000 "," 1,016,000 "," 12,500 "," 41,000 "," 80,500 "," 133,500 "," 227,000 "," 12,800 "
2011,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 144,500 "," 1,261,000 "," 20,500 "," 46,000 "," 86,000 "," 140,000 "," 243,000 "," 11,900 "
2012,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 130,500 "," 1,587,000 "," 7,500 "," 42,000 "," 79,500 "," 124,000 "," 222,500 "," 12,700 "
2013,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 148,500 "," 1,627,000 "," 17,500 "," 44,000 "," 79,500 "," 136,500 "," 265,500 "," 12,000 "
2014,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 140,500 "," 785,000 "," 13,000 "," 48,000 "," 87,500 "," 145,000 "," 258,000 "," 13,400 "
2015,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 140,000 "," 2,198,000 "," 17,500 "," 47,000 "," 84,000 "," 139,500 "," 223,500 "," 11,500 "
2016,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 126,500 "," 2,778,000 ","-53,500 "," 33,500 "," 61,500 "," 109,500 "," 197,000 "," 12,650 "
2017,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 200,000 "," 2,915,500 "," 7,000 "," 51,000 "," 96,500 "," 225,500 "," 406,500 "," 14,550 "
2018,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 154,500 "," 3,630,000 "," 10,000 "," 38,500 "," 75,500 "," 129,500 "," 252,000 "," 15,800 "
2019,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 158,000 "," 994,500 "," 10,500 "," 39,500 "," 71,500 "," 152,500 "," 360,000 "," 18,900 "
2020,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 96,500 "," 376,000 "," 24,500 "," 46,500 "," 62,500 "," 102,500 "," 165,000 "," 17,800 "
2021,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 151,000 "," 2,752,000 "," 11,500 "," 43,000 "," 82,000 "," 139,500 "," 264,000 "," 18,350 "
2022,GVA per worker,4. Foreign Ownership,Foreign-Owned,Exporter,ABS-TiG," 124,000 "," 749,000 "," 12,000 "," 47,000 "," 85,000 "," 152,000 "," 251,500 "," 16,950 "
2005,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 179,500 "," 1,735,500 "," 9,500 "," 29,000 "," 51,000 "," 111,000 "," 193,000 "," 5,200 "
2006,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 89,500 "," 1,530,500 "," 10,500 "," 20,500 "," 40,000 "," 77,000 "," 134,000 "," 7,650 "
2007,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 98,000 "," 351,500 ","-9,000 "," 13,500 "," 46,500 "," 114,500 "," 284,500 "," 7,450 "
2008,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 95,500 "," 509,500 ","-3,000 "," 12,500 "," 53,000 "," 115,000 "," 173,000 "," 7,100 "
2009,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 788,500 "," 43,257,500 ","-7,500 "," 12,500 "," 43,500 "," 91,500 "," 194,500 "," 6,250 "
2010,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 88,000 "," 566,000 ","-3,500 "," 12,500 "," 48,500 "," 104,000 "," 233,500 "," 6,450 "
2011,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 97,500 "," 421,000 ","-4,500 "," 5,500 "," 52,000 "," 140,500 "," 289,000 "," 7,150 "
2012,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 117,000 "," 547,000 ","-1,000 "," 20,500 "," 64,000 "," 126,000 "," 250,500 "," 6,250 "
2013,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 88,000 "," 182,000 ", -   ," 18,500 "," 49,000 "," 117,500 "," 245,000 "," 7,400 "
2014,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 125,500 "," 287,500 ","-1,500 "," 19,000 "," 68,500 "," 148,000 "," 264,000 "," 6,700 "
2015,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 132,500 "," 1,154,000 ","-4,500 "," 18,000 "," 57,500 "," 117,500 "," 248,500 "," 8,000 "
2016,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 131,000 "," 611,000 "," 5,500 "," 17,000 "," 61,000 "," 134,000 "," 327,500 "," 9,300 "
2017,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 119,500 "," 267,500 ","-1,000 "," 11,500 "," 60,500 "," 129,500 "," 404,000 "," 11,500 "
2018,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 131,500 "," 1,707,000 "," 21,000 "," 33,000 "," 60,000 "," 154,500 "," 251,000 "," 10,800 "
2019,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 214,500 "," 1,201,500 ","-111,500 ","-1,000 "," 61,500 "," 146,000 "," 518,000 "," 15,550 "
2020,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 67,000 "," 457,500 "," 5,500 "," 9,000 "," 30,000 "," 81,500 "," 162,000 "," 12,300 "
2021,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 403,500 "," 2,285,000 ","-3,000 "," 22,500 "," 59,500 "," 131,000 "," 260,000 "," 17,950 "
2022,GVA per worker,4. Foreign Ownership,Foreign-Owned,Non-Exporter,ABS-TiG," 93,000 "," 330,000 ","-5,000 "," 34,000 "," 57,000 "," 92,000 "," 164,000 "," 15,300 "
2011,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 70,500 "," 83,000 "," 4,500 "," 23,500 "," 50,000 "," 93,000 "," 154,500 "," 38,850 "
2012,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 69,500 "," 78,500 "," 4,500 "," 23,500 "," 47,500 "," 94,500 "," 163,000 "," 39,850 "
2013,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 75,000 "," 90,500 "," 5,500 "," 21,500 "," 51,500 "," 94,500 "," 166,500 "," 40,700 "
2014,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 79,000 "," 120,500 "," 6,000 "," 27,000 "," 55,000 "," 98,000 "," 182,500 "," 38,800 "
2015,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 77,500 "," 87,500 "," 7,500 "," 24,500 "," 57,500 "," 100,500 "," 161,000 "," 35,150 "
2016,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 123,500 "," 248,000 "," 7,000 "," 24,000 "," 56,000 "," 95,500 "," 215,500 "," 49,050 "
2017,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 68,500 "," 102,000 "," 12,000 "," 27,000 "," 45,000 "," 74,000 "," 116,500 "," 42,350 "
2018,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 59,500 "," 66,000 "," 7,000 "," 25,000 "," 38,000 "," 78,000 "," 144,500 "," 37,900 "
2019,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 72,000 "," 97,500 "," 11,500 "," 26,000 "," 46,500 "," 81,000 "," 154,500 "," 59,750 "
2020,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 50,500 "," 74,000 "," 7,000 "," 17,000 "," 31,000 "," 64,000 "," 104,500 "," 60,200 "
2021,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 70,500 "," 93,000 "," 4,000 "," 23,000 "," 36,000 "," 104,500 "," 199,500 "," 51,000 "
2022,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS," 88,000 "," 92,000 "," 11,000 "," 32,000 "," 62,500 "," 110,000 "," 189,000 "," 57,600 "
2011,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 50,000 "," 80,500 "," 4,000 "," 14,500 "," 31,500 "," 61,000 "," 110,000 "," 257,550 "
2012,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 51,000 "," 71,500 "," 5,000 "," 15,000 "," 32,000 "," 63,500 "," 111,000 "," 284,400 "
2013,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 54,000 "," 80,500 "," 5,000 "," 15,500 "," 35,000 "," 68,000 "," 114,000 "," 316,100 "
2014,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 54,500 "," 80,000 "," 5,000 "," 15,500 "," 35,500 "," 69,500 "," 120,500 "," 302,450 "
2015,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 58,500 "," 233,000 "," 6,500 "," 18,000 "," 37,500 "," 73,000 "," 121,500 "," 307,150 "
2016,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 51,000 "," 70,000 "," 4,500 "," 16,000 "," 37,000 "," 67,000 "," 114,000 "," 250,350 "
2017,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 48,000 "," 69,500 "," 5,000 "," 14,500 "," 31,000 "," 59,500 "," 105,000 "," 253,050 "
2018,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 52,000 "," 68,500 "," 6,000 "," 16,000 "," 32,500 "," 64,000 "," 116,000 "," 270,100 "
2019,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 56,000 "," 129,000 "," 3,500 "," 15,000 "," 32,500 "," 65,000 "," 119,500 "," 352,850 "
2020,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 43,500 "," 80,500 "," 2,500 "," 11,000 "," 26,500 "," 57,000 "," 102,000 "," 352,500 "
2021,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 46,500 "," 143,500 "," 2,500 "," 13,500 "," 29,000 "," 54,500 "," 99,500 "," 382,550 "
2022,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS," 53,000 "," 89,000 "," 3,000 "," 15,000 "," 33,000 "," 65,500 "," 109,000 "," 392,000 "
2011,GVA per worker,5. Ageband,New (0-2),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 53,500 "," 73,000 ","-2,500 "," 9,000 "," 30,000 "," 76,000 "," 135,500 "," 22,350 "
2013,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 65,500 "," 96,500 ", -   ," 12,000 "," 39,500 "," 81,000 "," 171,000 "," 27,600 "
2014,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 59,000 "," 74,000 ",-500 ," 14,000 "," 40,000 "," 83,500 "," 149,500 "," 27,300 "
2015,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 57,000 "," 69,500 "," 1,000 "," 11,000 "," 38,000 "," 80,500 "," 125,500 "," 26,550 "
2016,GVA per worker,5. Ageband,New (0-2),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2017,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 78,500 "," 91,000 ", [c] ," 35,500 "," 56,500 "," 102,000 ", [c] ," 40,150 "
2018,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 66,500 "," 89,000 ", [c] ," 15,500 "," 40,000 "," 80,500 ", [c] ," 32,600 "
2019,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 61,500 "," 54,000 ", [c] ," 21,500 "," 61,500 "," 82,000 ", [c] ," 36,400 "
2020,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 45,000 "," 48,000 ", [c] ," 11,000 "," 29,000 "," 64,500 ", [c] ," 25,550 "
2021,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 63,500 "," 142,500 ", [c] ," 16,000 "," 31,500 "," 71,000 ", [c] ," 47,450 "
2022,GVA per worker,5. Ageband,New (0-2),Exporter,ABS," 56,500 "," 61,000 ", [c] ," 13,000 "," 29,500 "," 74,000 ", [c] ," 42,100 "
2011,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 51,500 "," 68,500 "," 1,000 "," 12,500 "," 34,000 "," 71,000 "," 118,500 "," 209,950 "
2013,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 51,000 "," 94,500 "," 1,000 "," 12,500 "," 34,000 "," 68,500 "," 112,000 "," 265,750 "
2014,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 51,500 "," 78,000 "," 2,500 "," 13,500 "," 33,500 "," 68,500 "," 112,000 "," 290,850 "
2015,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 48,500 "," 65,500 "," 3,500 "," 13,500 "," 33,500 "," 65,500 "," 109,500 "," 327,750 "
2016,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2017,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 45,500 "," 46,500 "," 4,500 "," 14,500 "," 35,500 "," 66,000 "," 101,500 "," 542,700 "
2018,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 42,000 "," 48,500 "," 4,500 "," 12,500 "," 29,000 "," 55,500 "," 96,500 "," 459,800 "
2019,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 37,000 "," 45,000 ",-500 ," 8,000 "," 23,000 "," 55,000 "," 96,000 "," 373,000 "
2020,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 33,500 "," 52,000 ","-1,000 "," 7,500 "," 21,000 "," 43,500 "," 76,500 "," 283,300 "
2021,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 35,000 "," 72,000 ", -   ," 7,500 "," 22,000 "," 47,500 "," 88,000 "," 388,850 "
2022,GVA per worker,5. Ageband,New (0-2),Non-Exporter,ABS," 40,000 "," 66,500 "," 1,500 "," 10,500 "," 26,000 "," 51,000 "," 92,500 "," 335,700 "
2011,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 72,000 "," 128,000 "," 9,500 "," 27,500 "," 53,500 "," 91,000 "," 151,500 "," 89,700 "
2012,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 74,500 "," 602,000 "," 8,000 "," 27,500 "," 52,500 "," 88,500 "," 148,000 "," 94,300 "
2013,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 73,500 "," 99,500 "," 10,000 "," 25,000 "," 50,000 "," 90,000 "," 154,500 "," 106,500 "
2014,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 82,500 "," 99,500 "," 13,000 "," 31,000 "," 57,000 "," 101,000 "," 166,500 "," 101,200 "
2015,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 78,000 "," 332,000 "," 10,500 "," 28,000 "," 55,000 "," 97,000 "," 159,000 "," 111,200 "
2016,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 80,500 "," 397,500 "," 8,500 "," 27,000 "," 50,500 "," 94,000 "," 152,500 "," 97,950 "
2017,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 80,000 "," 396,500 "," 9,500 "," 29,500 "," 53,000 "," 95,000 "," 172,000 "," 105,400 "
2018,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 71,000 "," 232,500 "," 4,000 "," 26,000 "," 48,500 "," 86,500 "," 150,000 "," 101,850 "
2019,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 97,500 "," 338,000 "," 9,500 "," 23,500 "," 48,000 "," 90,000 "," 163,000 "," 121,950 "
2020,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 62,500 "," 333,000 "," 8,500 "," 22,500 "," 47,500 "," 75,500 "," 131,000 "," 115,950 "
2021,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 67,500 "," 321,500 "," 7,000 "," 21,500 "," 45,500 "," 82,000 "," 150,000 "," 115,350 "
2022,GVA per worker,5. Ageband,Old (10+),Exporter,ABS," 72,000 "," 212,000 "," 10,000 "," 28,500 "," 53,500 "," 89,500 "," 145,500 "," 115,650 "
2011,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 45,000 "," 72,500 "," 3,000 "," 13,500 "," 30,500 "," 55,500 "," 96,500 "," 473,800 "
2012,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 45,500 "," 72,000 "," 4,000 "," 14,000 "," 30,000 "," 55,500 "," 96,000 "," 505,050 "
2013,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 47,500 "," 79,000 "," 4,500 "," 14,000 "," 30,500 "," 56,500 "," 100,000 "," 606,450 "
2014,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 50,500 "," 144,500 "," 4,500 "," 14,000 "," 31,000 "," 59,500 "," 107,500 "," 644,400 "
2015,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 50,000 "," 149,500 "," 4,500 "," 14,000 "," 31,500 "," 60,000 "," 104,500 "," 670,000 "
2016,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 43,500 "," 87,000 "," 3,500 "," 13,000 "," 29,000 "," 54,500 "," 94,000 "," 587,650 "
2017,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 48,000 "," 130,500 "," 5,500 "," 14,500 "," 30,500 "," 60,500 "," 97,500 "," 651,400 "
2018,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 46,000 "," 569,000 "," 4,500 "," 14,500 "," 29,000 "," 56,000 "," 101,000 "," 635,850 "
2019,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 46,500 "," 124,500 "," 4,000 "," 12,000 "," 26,500 "," 54,000 "," 97,500 "," 724,950 "
2020,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 38,000 "," 110,500 "," 1,500 "," 9,500 "," 25,000 "," 48,500 "," 84,500 "," 737,800 "
2021,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 49,500 "," 368,000 "," 1,500 "," 10,000 "," 27,000 "," 54,500 "," 97,000 "," 722,300 "
2022,GVA per worker,5. Ageband,Old (10+),Non-Exporter,ABS," 45,500 "," 117,500 "," 4,000 "," 13,000 "," 30,000 "," 59,000 "," 97,500 "," 749,500 "
2011,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 78,000 "," 101,500 "," 1,500 "," 20,000 "," 48,500 "," 104,000 "," 179,500 "," 33,600 "
2013,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 77,500 "," 97,000 "," 2,000 "," 15,000 "," 51,000 "," 104,000 "," 172,500 "," 35,550 "
2014,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 82,500 "," 126,500 "," 5,500 "," 24,000 "," 54,500 "," 104,000 "," 191,000 "," 37,250 "
2015,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 64,000 "," 71,000 "," 3,000 "," 20,500 "," 47,500 "," 84,500 "," 143,500 "," 37,100 "
2016,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2017,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 72,000 "," 104,000 "," 1,000 "," 15,000 "," 43,500 "," 83,500 "," 185,500 "," 25,900 "
2018,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 73,000 "," 83,000 "," 3,500 "," 15,500 "," 43,500 "," 108,500 "," 201,500 "," 40,550 "
2019,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 57,500 "," 70,000 "," 3,500 "," 23,500 "," 39,500 "," 71,000 "," 129,500 "," 34,700 "
2020,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 69,000 "," 71,500 "," 6,000 "," 18,000 "," 47,500 "," 97,000 "," 172,000 "," 26,850 "
2021,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 53,500 "," 83,000 ","-12,500 "," 10,000 "," 40,500 "," 64,500 "," 133,500 "," 40,100 "
2022,GVA per worker,5. Ageband,Young (3-5),Exporter,ABS," 52,500 "," 60,500 "," 7,000 "," 16,000 "," 36,000 "," 73,000 "," 115,000 "," 36,000 "
2011,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 54,500 "," 70,000 "," 4,000 "," 15,500 "," 37,500 "," 71,000 "," 123,500 "," 224,250 "
2013,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 59,000 "," 81,000 "," 5,000 "," 17,000 "," 40,000 "," 76,500 "," 128,000 "," 259,350 "
2014,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 59,500 "," 81,500 "," 5,000 "," 16,500 "," 39,500 "," 78,000 "," 135,000 "," 288,850 "
2015,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 56,500 "," 77,000 "," 5,000 "," 16,000 "," 38,000 "," 74,000 "," 122,000 "," 316,900 "
2016,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2017,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 43,000 "," 51,000 "," 4,500 "," 13,000 "," 31,000 "," 60,000 "," 96,000 "," 301,850 "
2018,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 47,500 "," 66,000 "," 5,500 "," 14,000 "," 31,000 "," 61,500 "," 104,500 "," 323,750 "
2019,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 42,000 "," 55,000 "," 4,000 "," 14,000 "," 32,000 "," 56,000 "," 94,500 "," 350,300 "
2020,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 39,500 "," 51,000 "," 1,000 "," 11,000 "," 26,500 "," 49,000 "," 94,000 "," 350,550 "
2021,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 45,000 "," 116,500 "," 2,000 "," 10,500 "," 26,000 "," 53,500 "," 93,000 "," 361,100 "
2022,GVA per worker,5. Ageband,Young (3-5),Non-Exporter,ABS," 41,000 "," 57,000 "," 2,500 "," 10,500 "," 26,000 "," 52,500 "," 93,000 "," 337,450 "
2005,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 90,000 "," 113,000 "," 10,500 "," 28,500 "," 63,500 "," 111,000 "," 193,000 "," 28,250 "
2006,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 92,000 "," 243,000 "," 11,000 "," 29,500 "," 68,000 "," 121,000 "," 200,000 "," 28,800 "
2007,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 87,000 "," 82,000 "," 9,000 "," 34,000 "," 67,500 "," 118,500 "," 179,000 "," 26,850 "
2008,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 82,500 "," 279,500 "," 5,500 "," 25,500 "," 53,500 "," 107,000 "," 171,000 "," 33,350 "
2009,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 78,000 "," 342,000 "," 6,000 "," 25,500 "," 55,500 "," 94,000 "," 153,500 "," 32,050 "
2010,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 81,000 "," 156,000 "," 5,500 "," 25,500 "," 57,000 "," 102,000 "," 184,000 "," 32,900 "
2011,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 80,500 "," 580,000 "," 6,500 "," 28,500 "," 56,000 "," 102,000 "," 174,500 "," 35,800 "
2012,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 76,500 "," 92,500 "," 7,500 "," 27,000 "," 54,500 "," 101,000 "," 167,500 "," 34,550 "
2013,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 80,000 "," 107,500 "," 8,000 "," 27,000 "," 56,500 "," 97,500 "," 175,000 "," 36,400 "
2014,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 82,000 "," 126,500 "," 10,000 "," 29,500 "," 55,500 "," 98,500 "," 190,500 "," 35,450 "
2015,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 112,500 "," 696,500 "," 9,500 "," 28,500 "," 61,500 "," 105,500 "," 176,000 "," 31,050 "
2016,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 68,000 "," 98,000 "," 12,500 "," 22,500 "," 53,000 "," 84,500 "," 151,500 "," 40,250 "
2017,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 76,500 "," 150,500 "," 10,500 "," 31,000 "," 48,000 "," 80,500 "," 141,000 "," 36,150 "
2018,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 62,500 "," 78,000 "," 9,000 "," 24,000 "," 39,000 "," 91,000 "," 144,500 "," 34,200 "
2019,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 84,000 "," 160,500 "," 9,000 "," 33,000 "," 56,500 "," 99,500 "," 182,000 "," 47,550 "
2020,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 59,500 "," 237,000 "," 7,000 "," 18,500 "," 48,000 "," 72,000 "," 114,500 "," 54,950 "
2021,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 73,500 "," 159,500 "," 2,000 "," 21,500 "," 41,000 "," 107,000 "," 199,500 "," 47,800 "
2022,GVA per worker,5. Ageband,Mature (6-10),Exporter,ABS-TiG," 99,000 "," 143,500 "," 12,000 "," 38,000 "," 73,500 "," 115,500 "," 222,500 "," 52,800 "
2005,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS-TiG," 57,000 "," 83,500 "," 5,000 "," 17,500 "," 37,500 "," 72,500 "," 118,500 "," 283,050 "
2006,GVA per worker,5. Ageband,Mature (6-10),Non-Exporter,ABS-TiG," 57,000 "," 253,000 "," 4,500 "," 18,000 "," 41,000 "," 74,500 "," 122,500 "," 280,750 "
